id,features
290,"[-0.8565727472305298, 0.4503173232078552, -0.3869065046310425, 0.3665004074573517, -0.4241968095302582, 0.23268552124500275, 0.6107916235923767, 0.01916927471756935, -0.19460302591323853, -0.09556711465120316, -0.11136868596076965, -0.4021005928516388, -0.3951537013053894, 0.07781849056482315, -0.07883036881685257, 0.5583891272544861, 0.3997756540775299, 0.06410467624664307, 0.4374500513076782, -0.4482012391090393, 0.39288797974586487, -0.2554156482219696, 0.28782325983047485, 0.46669095754623413, 0.22074641287326813, 0.12017805129289627, 0.09351981431245804, 0.7522410154342651, 0.1874525547027588, 0.08565995842218399]"
300,"[-0.9190433025360107, -0.05252119526267052, -0.24905303120613098, 0.6237550973892212, -0.6038974523544312, -0.04310733824968338, 0.4573144018650055, 0.048652760684490204, -0.23193076252937317, -0.567893385887146, -0.09440991282463074, -0.569435715675354, -0.5203229784965515, -0.3358941674232483, -0.2129492312669754, 0.36877018213272095, 0.27035975456237793, 0.08649641275405884, 0.041016511619091034, -0.04419771954417229, 0.3433569371700287, 0.28932783007621765, 0.13711994886398315, 0.2386830598115921, 0.04349495843052864, 0.303335040807724, -0.03145555779337883, 0.546565055847168, 0.08795174211263657, -0.19965921342372894]"
310,"[-1.043635368347168, -0.09859458357095718, -0.29172801971435547, 0.47129905223846436, -0.7369406819343567, 0.4544844925403595, 0.737288773059845, 0.48671746253967285, -0.4079201817512512, -0.0023984969593584538, -0.38020971417427063, -0.2469295710325241, 0.018812119960784912, -0.30457982420921326, 0.33104372024536133, 0.265699177980423, 0.5632781982421875, 0.01552859228104353, 0.3091517686843872, -0.10270754247903824, -0.2056157886981964, 0.4577048718929291, 0.30064207315444946, 0.2830600142478943, 0.20266099274158478, -0.21166585385799408, -0.1087167039513588, 0.9687013626098633, 0.5636131167411804, 0.11932382732629776]"
320,"[-0.3464542329311371, 0.3121086657047272, -0.564304530620575, 0.5495252013206482, -0.6792741417884827, -0.04849177598953247, 0.3396354615688324, 0.035669174045324326, -0.017149794846773148, -0.3248648941516876, -0.2313508540391922, -0.1896509975194931, -0.5004456639289856, -0.45283952355384827, -0.16462917625904083, 0.5250676274299622, 0.3436005115509033, 0.08211612701416016, 0.26224714517593384, -0.3060161769390106, 0.2858198285102844, -0.03567523881793022, 0.5000978708267212, 0.5190180540084839, 0.2070157676935196, -0.03755280002951622, 0.3162674009799957, 0.6656973958015442, -0.17447879910469055, 0.10829872637987137]"
330,"[-0.7928075790405273, -0.35641080141067505, -0.42097708582878113, 0.5556082129478455, -0.23515884578227997, 0.3299936354160309, 0.5788392424583435, 0.10514519363641739, -0.7604696154594421, -0.2444608062505722, -0.06501369178295135, -0.25497570633888245, -0.5158042907714844, -0.23681524395942688, -0.2692365348339081, 0.806290864944458, 0.36034923791885376, 0.1063479483127594, 0.40876737236976624, -0.6179107427597046, 0.06080235168337822, -0.220392107963562, -0.2453460991382599, -0.14434178173542023, 0.019340448081493378, 0.3227621614933014, 0.3757149279117584, 0.34331199526786804, -0.06657420098781586, -0.10651189088821411]"
340,"[-1.0325591564178467, -0.015500636771321297, -0.2867061197757721, 0.4551146626472473, -0.7609921097755432, 0.11899267882108688, 0.5559271574020386, 0.13457760214805603, -0.3877366781234741, -0.09854263067245483, 0.11847054958343506, -0.37127599120140076, -0.6142907738685608, -0.3452450633049011, -0.32634931802749634, 0.25567370653152466, 0.46883389353752136, 0.08185979723930359, 0.3354363739490509, -0.158272385597229, -0.208055317401886, -0.5597690343856812, 0.3822273015975952, 0.6059681177139282, -0.028355136513710022, -0.09631609916687012, 0.4694633185863495, 0.3879587948322296, -0.1148594468832016, -0.19132758677005768]"
350,"[-0.7978026270866394, 0.05334772914648056, -0.16687609255313873, 0.22396017611026764, -0.48930683732032776, 0.03778521716594696, 0.3843102753162384, -0.0722777247428894, -0.42673254013061523, 0.2885046601295471, 0.02145916037261486, -0.16650786995887756, -0.607572078704834, -0.18828050792217255, -0.45863404870033264, 0.3723394274711609, 0.1920568346977234, 0.04698348790407181, 0.35869842767715454, -0.25871479511260986, 0.12722770869731903, -0.2586078643798828, 0.10118924081325531, 0.49324101209640503, -0.35496488213539124, -0.08716273307800293, 0.3795151114463806, 0.49494487047195435, -0.311612069606781, -0.3495723307132721]"
360,"[-0.4169342517852783, 0.08824629336595535, -1.0210614204406738, 0.5127173066139221, -0.77044677734375, 0.1273161917924881, 0.36379942297935486, -0.6588992476463318, 0.04821523278951645, 0.014386056922376156, -0.35133230686187744, -0.16481105983257294, -0.4817562997341156, -0.33906781673431396, 0.29243481159210205, 0.5556333065032959, -0.17327024042606354, -0.2524701654911041, 0.33253243565559387, -0.6339128017425537, 0.6237853765487671, -0.5949775576591492, 0.5361030101776123, 0.4934770166873932, 0.10973674803972244, 0.0882164016366005, 0.210718035697937, 0.390325665473938, -0.3957676887512207, -0.5305107235908508]"
370,"[-0.5777297019958496, -0.14081338047981262, -0.41194573044776917, -0.14188827574253082, -0.8132968544960022, 0.4222819209098816, 0.5257338881492615, -0.08717551827430725, 0.19402669370174408, -0.17597311735153198, 0.1785667985677719, -0.22244182229042053, -0.6690076589584351, -0.4247566759586334, -0.3343721032142639, 0.8638861775398254, 0.15202607214450836, 0.14368024468421936, 0.34013015031814575, 0.28832054138183594, 0.2235177606344223, -0.19919200241565704, 0.08531775325536728, 0.4958442449569702, -0.15525512397289276, 0.30511972308158875, 0.18740995228290558, 0.24523575603961945, 0.1534280776977539, -0.14000625908374786]"
380,"[-0.9583016037940979, -0.15754032135009766, 0.11697033792734146, 0.21176739037036896, -0.6064910888671875, 0.3041638135910034, 0.5478827357292175, 0.022729309275746346, -0.345743864774704, 0.09633053094148636, 0.14192187786102295, -0.34523454308509827, -0.6151815056800842, -0.49523353576660156, -0.32633405923843384, 0.46276408433914185, 0.8636572957038879, 0.04320787638425827, 0.04652592912316322, -0.6223989725112915, 0.23067478835582733, -0.04669075086712837, 0.2451511025428772, 0.40642815828323364, -0.06880214810371399, -0.08214502036571503, 0.1468418538570404, 0.7497599124908447, 0.10168515145778656, -0.2630942761898041]"
390,"[-0.7378012537956238, -0.23088936507701874, -0.45114290714263916, -0.08975642919540405, -0.7439383268356323, 0.2770118713378906, 0.01784081757068634, 0.07320079952478409, -0.10939642041921616, -0.3172760605812073, -0.18816812336444855, -0.13696976006031036, -0.9795600771903992, -0.29444074630737305, -0.5454508066177368, 0.635227620601654, -0.1740240752696991, 0.47988447546958923, 0.2646465301513672, -0.6694976091384888, 0.33747410774230957, -0.355149507522583, -0.2838146984577179, 0.05338330566883087, 0.21036884188652039, 0.08484029024839401, -0.03606199100613594, 0.6823951601982117, -0.13091929256916046, -0.7322281002998352]"
400,"[-1.0349345207214355, 0.21078114211559296, -0.39846959710121155, 0.2753427028656006, -0.4824923872947693, 0.09214762598276138, 0.5603180527687073, 0.05025102570652962, -0.37681296467781067, -0.27473562955856323, 0.08832117915153503, -0.29167431592941284, -0.427139550447464, -0.39727964997291565, -0.32646965980529785, 0.6448847651481628, 0.28848472237586975, 0.04642456769943237, 0.31605106592178345, -0.2643381357192993, 0.146670401096344, -0.35303375124931335, 0.2529178857803345, 0.20297199487686157, -0.054792050272226334, 0.19460397958755493, 0.21144220232963562, 0.7537837624549866, 0.015151957049965858, -0.44194039702415466]"
